@relation Advertisment

@attribute width numeric
@attribute height numeric
@attribute iframe {iframe,Noniframe}
@attribute google {google,Nongoogle}
@attribute embed {embed,Nonembed}
@attribute ads {ads,Nonads}
@attribute aswift {aswift,Nonaswift}
@attribute autolayout {autolayout,Nonautolayout}
@attribute doubleclick {doubleclick,Nondoubleclick}
@attribute redirect {redirect,Nonredirect}
@attribute banner {banner,Nonbanner}
@attribute content {content,Noncontent}
@attribute upload {upload,Nonupload}
@attribute news {news,Nonnews}
@attribute image {image,Nonimage}
@attribute staticlayout {staticlayout,Nonstaticlayout}
@attribute icon {icon,Nonicon}
@attribute photo {photo,Nonphoto}
@attribute home {home,Nonhome}
@attribute frameOrimage {iframe,image}
@attribute targetvalue {AD,NonAD}

@data
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,upload,news,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
300,250,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
100,72,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
728,90,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,news,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
1050,79,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
181,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
336,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
181,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
144,250,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
144,352,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,250,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,AD
279,110,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
468,60,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
36,16,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
19,15,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
336,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
336,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
144,50,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
144,38,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
144,50,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
144,50,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
143,72,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
143,72,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
143,72,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,icon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
148,148,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,content,upload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
528,362,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,upload,news,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
300,250,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,ads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
100,72,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
728,90,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,redirect,Nonbanner,content,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,AD
1050,78,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,image,NonAD
728,180,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
181,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
336,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
181,280,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
144,250,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
144,352,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,250,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,banner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,image,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,NonAD
300,100,Noniframe,Nongoogle,Nonembed,Nonads,Nonaswift,Nonautolayout,Nondoubleclick,Nonredirect,Nonbanner,Noncontent,Nonupload,Nonnews,Nonimage,Nonstaticlayout,Nonicon,Nonphoto,Nonhome,iframe,AD
